year,state,legal1820,dtype,agegr,count,pop,age,legal,beertaxa,beerpercap,winepercap,spiritpercap,totpercap,mrate
1970,1,0,all,15-17 yrs,224,213574,15.9783353805542,0,1.373711347579956,0.6000000238418579,0.09000000357627869,0.699999988079071,1.3799999952316284,104.88168334960938
1971,1,0,all,15-17 yrs,241,220026,15.98584270477295,0,1.316049337387085,0.6600000262260437,0.09000000357627869,0.7599999904632568,1.5199999809265137,109.53250885009766
1972,1,0,all,15-17 yrs,270,224877,15.985733985900879,0,1.275119662284851,0.7400000095367432,0.09000000357627869,0.7799999713897705,1.6100000143051147,120.06563568115234
1973,1,0,all,15-17 yrs,258,227256,15.992462158203125,0,1.2004504203796387,0.7900000214576721,0.10000000149011612,0.7900000214576721,1.690000057220459,113.52835845947266
1974,1,0,all,15-17 yrs,224,229025,16.000776290893555,0,1.081135869026184,0.8299999833106995,0.1599999964237213,0.8100000023841858,1.7999999523162842,97.80591583251953
1975,1,0.2939954102039337,all,15-17 yrs,207,229739,15.997954368591309,0,0.9907063245773315,0.8799999952316284,0.1599999964237213,0.8500000238418579,1.8799999952316284,90.10224914550781
1976,1,0.665070116519928,all,15-17 yrs,231,230696,15.998027801513672,0,0.9367310404777527,0.8899999856948853,0.15000000596046448,0.8600000143051147,1.8899999856948853,100.13177490234375
1977,1,0.6684675216674805,all,15-17 yrs,219,230086,16.001556396484375,0,0.8795379400253296,0.9900000095367432,0.12999999523162842,0.8399999737739563,1.9600000381469727,95.18180084228516
1978,1,0.667184591293335,all,15-17 yrs,234,229519,16.003128051757812,0,0.8174846768379211,0.9800000190734863,0.11999999731779099,0.8799999952316284,1.9700000286102295,101.95234680175781
1979,1,0.6680923700332642,all,15-17 yrs,176,227140,16.00298500061035,0,0.7341597676277161,0.9800000190734863,0.11999999731779099,0.8399999737739563,1.940000057220459,77.4852523803711
1980,1,0.6722586154937744,all,15-17 yrs,196,222306,16.01129913330078,0,0.6468446254730225,0.9599999785423279,0.1599999964237213,0.7400000095367432,1.8600000143051147,88.16676330566406
1981,1,0.6792081594467163,all,15-17 yrs,170,214472,16.029743194580078,0,0.5863586068153381,1,0.1899999976158142,0.7300000190734863,1.9199999570846558,79.2644271850586
1982,1,0.6759088635444641,all,15-17 yrs,142,203949,16.035680770874023,0,0.5523316264152527,1,0.18000000715255737,0.7200000286102295,1.8899999856948853,69.62525177001953
1983,1,0.6796314120292664,all,15-17 yrs,140,194608,16.0230712890625,0,0.5351405739784241,1.0099999904632568,0.17000000178813934,0.7099999785423279,1.8899999856948853,71.93949127197266
1984,1,0.6895281076431274,all,15-17 yrs,131,191659,16.002525329589844,0,0.5129932761192322,1.0199999809265137,0.1899999976158142,0.6899999976158142,1.899999976158142,68.3505630493164
1985,1,0.677747368812561,all,15-17 yrs,166,193865,15.985051155090332,0,0.49535316228866577,1.059999942779541,0.17000000178813934,0.6700000166893005,1.899999976158142,85.62659454345703
1986,1,0.42814481258392334,all,15-17 yrs,184,199857,15.979300498962402,0,0.4863138794898987,1.090000033378601,0.18000000715255737,0.6399999856948853,1.899999976158142,92.065826416015625
